Ubicación,Potencia (kW),Tipo de conecto,Cantidad,,,,,,
"Las Palmas-Aeropuerto José María Córdova, Rionegro, Antioquia, Colombia",50,CHAdeMO,1,https://www.plugshare.com/location/200828,Atioquia,CHAdeMO,,,Wall
,50,CCS/SAE,1,,Atioquia,,,,
KM. 19 Aut. Medellín Bogota Municipio de Guarne,,CHAdeMO,3,https://www.plugshare.com/location/316913,Atioquia,,,,
,,CCS/SAE,3,https://www.plugshare.com/location/301152,Atioquia,,,,
,,Type 2,3,https://www.plugshare.com/location/301165,Atioquia,CCS/SAE,,,
"Niquia, Bello, Antioquia, Colombia",,Type 2,1,https://www.plugshare.com/location/200817,Atioquia,,,,
,,J-1772,1,,Atioquia,,,,
"#65-2 a, Cra. 65, Medellín, Antioquia, Colombia, Centro Comercial Florida",,J-1772,1,https://www.plugshare.com/location/200831,Atioquia,,,,
,,Type 2,1,,Atioquia,,,,
"Cra. 57, Medellín, Antioquia, Colombia, Plaza mayor",,Type 2,2,https://www.plugshare.com/location/147039,Atioquia,Type 2,,,
,,J-1772,2,,Atioquia,,,,
,,Wall (Euro),2,,Atioquia,,,,
"Cra. 66a #34-2, Medellín, Antioquia, Colombia, Unicentro",,Wall,4,https://www.plugshare.com/location/200818,Atioquia,,,,
,,Type 2,1,,Atioquia,,,,
,,J-1772,1,,Atioquia,J-1772,,,
,,Wall (Euro),1,,Atioquia,,,,
"Cl. 39c #73-33, Medellín, Antioquia, Colombia, Primer parque de Laureles",,Wall (Euro),1,https://www.plugshare.com/location/200824,Atioquia,,,,
,,J-1772,1,,Atioquia,,,,
,,Type 2,1,,Atioquia,,,,
"Carrera 80AA #3657, Medellín, Antioquia, Colombia, Viva Laureles",,Wall (Euro),1,https://www.plugshare.com/location/200821,Atioquia,Wall (Euro),,,
,,J-1772,1,,Atioquia,,,,
,,Type 2,1,,Atioquia,,,,
"Cl. 36 #53-35, Medellín, Antioquia, Colombia, EDS Colibrí",,CHAdeMO,1,https://www.plugshare.com/location/200822,Atioquia,,,,
,,Wall,1,,Atioquia,,,,
,,Type 2,1,,Atioquia,,,,
,,J-1772,1,,Atioquia,,,,
,,Wall (Euro),1,,Atioquia,,,,
"transversal 39b, Cra. 79a, Medellín, Antioquia, Colombia, EDS Av. Nutivara",,CHAdeMO,1,https://www.plugshare.com/location/200832,Atioquia,,,,
,,Type 2,1,,Atioquia,,,,
"Calle 30A ##82a-26, Medellín, Antioquia, Colombia,  Centro Comercial Los Molinos",,J-1772,1,https://www.plugshare.com/location/200827,Atioquia,,,,
,,Type 2,1,,Atioquia,,,,
"Calle 10 #50-35, Mall Autos Sura",,J-1772,1,https://www.plugshare.com/location/200804,Atioquia,,,,
,,Wall (Euro),1,,Atioquia,,,,
,,Type 2,1,,Atioquia,,,,
"Av. Las Palmas #35-81, Medellín, Antioquia, Colombia, Mall Palms Avenue",,Type 2,1,https://www.plugshare.com/location/287331,Atioquia,,,,
,,Wall (Euro),1,,Atioquia,,,,
"Calle 10 #50-35, Mall Autos Sura",,J-1772,1,https://www.plugshare.com/location/200804,Atioquia,,,,
,,Wall (Euro),1,,Atioquia,,,,
,,Type 2,1,,Atioquia,,,,
"Cra. 46 #9-43, Medellín, Antioquia, Colombia, Exito El Poblado",,J-1772,1,https://www.plugshare.com/location/200825,Atioquia,,,,
,,Type 2,1,,Atioquia,,,,
"Calle 10A 22-2–22-40, Medelin, Departamento de Antioquia, Colômbia, CES Universidad",,J-1772,1,https://www.plugshare.com/location/147189,Atioquia,,,,
,,Type 2,1,,Atioquia,,,,
,,Wall (Euro),1,,Atioquia,,,,
"Cra. 42A, Medellín, Antioquia, Colombia, San Fernando Plaza",,J-1772,1,https://www.plugshare.com/location/207003,Atioquia,,,,
,,Type 2,1,,Atioquia,,,,
,,Wall (Euro),1,,Atioquia,,,,
"Carrera 42 nº3 Sur - 81 Oficina 1303, Torre 1 Edificio Milla de Oro, Medellín, Antioquia, Colombia, Distrito de Negocios Milla de Oro",,Type 2,1,https://www.plugshare.com/location/200829,Atioquia,,,,
,,J-1772,1,,Atioquia,,,,
,,Wall (Euro),1,,Atioquia,,,,
"Entrada Al Parqueadero 1–99, Medellin, Colombia, Oviedo Centro Comercial",,J-1772,1,https://www.plugshare.com/location/126071,Atioquia,,,,
,,Wall (Euro),1,,Atioquia,,,,
,,Type 2,1,,Atioquia,,,,
"Av. El Poblado #7 Sur-198, Medellín, Antioquia, Colombia, Centro Comercial Santafé",,Wall (Euro),1,https://www.plugshare.com/location/200823,Atioquia,,,,
,,Type 2,1,,Atioquia,,,,
,,J-1772,1,,Atioquia,,,,
"Cra. 25 #1a-45, Medellín, Antioquia, Colombia, Parque Comercial El Tesoro",,J-1772,1,https://www.plugshare.com/location/200826,Atioquia,,,,
,,Type 2,1,,Atioquia,,,,
"Carrera 25 2-99–2-99-1, Medelin, Departamento de Antioquia, Colômbia, Mall Del Este",,Wall (Euro),1,https://www.plugshare.com/location/147187,Atioquia,,,,
,,J-1772,1,,Atioquia,,,,
,,Type 2,1,,Atioquia,,,,
"Cra 43A #1 Sur-150, Medellín, Antioquia, Colombia, Mall La Strada Sótano 1",,J-1772,1,https://www.plugshare.com/location/289612,Atioquia,,,,
,,Wall (Euro),1,,Atioquia,,,,
"Cl. 30 Sur, Envigado, Antioquia, Colombia",50,CHAdeMO,1,https://www.plugshare.com/location/200819,Atioquia,,,,
,50,CCS/SAE,1,,Atioquia,,,,
,22,Type 2,1,,Atioquia,,,,
"#32B Sur-139, Cra. 48, Envigado, Antioquia, Colombia, Viva Envigado",,J-1772,1,https://www.plugshare.com/location/207245,Atioquia,,,,
,,Type 2,1,,Atioquia,,,,
,,Wall (Euro),1,,Atioquia,,,,
"Cra. 48 #51 Sur-23, Sabaneta, Antioquia, Colombia, Cra. 48 #51 Sur-23, Sabaneta, Antioquia, Colombia, Centro Comercial Mayorca",,J-1772,1,https://www.plugshare.com/location/200830,Atioquia,,,,
,,Type 2,1,,Atioquia,,,,
"Calle 57S #48-25, Sabaneta, Antioquia, Terpel Mayorca",,Type 2,1,https://www.plugshare.com/location/200816,Atioquia,,,,
"Carrera 48 # 72 Sur - 01, EDS Santa María",,CHAdeMO,1,https://www.plugshare.com/location/216126,Atioquia,,,,
"Km. 17 750, Vía El Escobero Las Palmas, Envigado, Viva Palmas",,Type 2,1,https://www.plugshare.com/location/200814,Atioquia,,,,
,,J-1772,1,,Atioquia,,,,
